FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
2/10/2024,20,12,-99,24,-99,-99,-99,-99,17,-99,-99,13,-99,-99,-99,33,-99,-99
2/10/2024,21,15,-99,20,-99,-99,-99,-99,15,-99,-99,14,-99,-99,-99,25,-99,-99
2/10/2024,22,15,-99,16,-99,-99,-99,-99,11,-99,-99,14,-99,-99,-99,26,-99,-99
2/10/2024,23,12,-99,18,-99,-99,-99,-99,12,-99,-99,10,-99,-99,-99,24,-99,-99
2/10/2024,24,8,-99,15,-99,-99,-99,-99,18,-99,-99,7,-99,-99,-99,15,-99,-99
3/10/2024,1,5,-99,18,-99,-99,-99,-99,17,-99,-99,5,-99,-99,-99,-99,-99,-99
3/10/2024,2,-99,-99,12,-99,-99,-99,-99,12,-99,-99,6,-99,-99,-99,-99,-99,-99
3/10/2024,3,-99,-99,13,-99,-99,-99,-99,13,-99,-99,5,-99,-99,-99,-99,-99,-99
3/10/2024,4,-99,-99,10,-99,-99,-99,-99,12,-99,-99,4,-99,-99,-99,-99,-99,-99
3/10/2024,5,-99,-99,-99,-99,-99,-99,-99,15,-99,-99,3,-99,-99,-99,-99,-99,-99
3/10/2024,6,4,-99,-99,-99,-99,-99,-99,12,-99,-99,3,-99,-99,-99,20,-99,-99
3/10/2024,7,3,-99,-99,-99,-99,-99,-99,20,-99,-99,6,-99,-99,-99,21,-99,-99
3/10/2024,8,5,-99,-99,-99,-99,-99,-99,24,-99,-99,6,-99,-99,-99,31,-99,-99
3/10/2024,9,4,-99,-99,-99,-99,-99,-99,21,-99,-99,4,-99,-99,-99,19,-99,-99
3/10/2024,10,5,-99,-99,-99,-99,-99,-99,19,-99,-99,6,-99,-99,-99,19,-99,-99
3/10/2024,11,4,-99,19,-99,-99,-99,-99,17,-99,-99,6,-99,-99,-99,13,-99,-99
3/10/2024,12,10,-99,17,-99,-99,-99,-99,-99,-99,-99,7,-99,-99,-99,26,-99,-99
3/10/2024,13,7,-99,27,-99,-99,-99,-99,-99,-99,-99,9,-99,-99,-99,48,-99,-99
3/10/2024,14,6,-99,34,-99,-99,-99,-99,-99,-99,-99,9,-99,-99,-99,33,-99,-99
3/10/2024,15,13,-99,30,-99,-99,-99,-99,-99,-99,-99,18,-99,-99,-99,32,-99,-99
3/10/2024,16,17,-99,17,-99,-99,-99,-99,-99,-99,-99,19,-99,-99,-99,31,-99,-99
3/10/2024,17,17,-99,18,-99,-99,-99,-99,-99,-99,-99,17,-99,-99,-99,34,-99,-99
3/10/2024,18,14,-99,15,-99,-99,-99,-99,-99,-99,-99,14,-99,-99,-99,40,-99,-99
3/10/2024,19,15,-99,15,-99,-99,-99,-99,-99,-99,-99,13,-99,-99,-99,36,-99,-99
